client_id,true_labels,predicted_labels,scores
3,0,0.0,3.5172463e-05
3,1,1.0,1.0
3,0,0.0,4.627447e-05
3,0,0.0,3.5834837e-05
3,1,1.0,1.0
3,1,1.0,1.0
3,1,1.0,1.0
3,0,0.0,7.1431474e-05
3,0,0.0,4.884907e-05
3,1,1.0,1.0
3,0,0.0,5.278308e-05
3,1,1.0,1.0
3,0,0.0,3.4898956e-05
3,1,1.0,1.0
3,0,0.0,4.023557e-05
3,0,0.0,4.7843572e-05
3,0,0.0,1.2526519e-05
3,0,0.0,4.2470885e-05
3,1,1.0,1.0
3,0,0.0,5.3813663e-05
3,1,1.0,1.0
3,0,0.0,1.6474183e-05
3,1,1.0,1.0
3,1,1.0,1.0
3,0,0.0,4.1459163e-05
3,0,0.0,3.968239e-05
3,1,1.0,1.0
3,1,1.0,1.0
3,0,0.0,4.6606885e-05
3,1,1.0,1.0
3,1,1.0,1.0
3,1,1.0,1.0
3,0,0.0,4.9035858e-05
3,0,0.0,5.6747667e-05
3,0,0.0,4.6082023e-05
3,0,0.0,4.3174816e-05
3,0,0.0,3.4551515e-05
3,0,0.0,4.4658158e-05
3,1,1.0,1.0
3,1,1.0,1.0
3,0,0.0,9.715654e-05
3,1,1.0,1.0
3,0,0.0,9.751267e-05
3,1,1.0,1.0
3,1,1.0,1.0
3,1,1.0,1.0
3,1,1.0,1.0
3,0,0.0,3.178545e-05
3,0,0.0,5.1815055e-05
3,0,0.0,5.015381e-05
3,1,1.0,1.0
3,1,1.0,1.0
3,0,0.0,3.507392e-05
3,0,0.0,4.7296668e-05
3,1,1.0,1.0
3,0,0.0,3.250207e-05
3,0,0.0,5.165482e-05
3,1,1.0,1.0
3,0,0.0,5.7752077e-05
3,0,0.0,4.611051e-05
3,1,1.0,1.0
3,0,0.0,3.0306026e-05
3,0,0.0,4.6839155e-05
3,1,1.0,1.0
3,0,0.0,0.00018344827
3,1,1.0,1.0
3,1,1.0,1.0
3,0,0.0,0.00017238686
3,0,0.0,3.6211928e-05
3,0,0.0,5.9952155e-05
3,0,0.0,4.7611364e-05
3,1,1.0,1.0
3,0,0.0,4.9523987e-05
3,0,0.0,1.8430495e-05
3,1,1.0,1.0
3,1,1.0,1.0
3,1,1.0,1.0
3,0,0.0,1.3277526e-05
3,1,1.0,1.0
3,1,1.0,1.0
3,0,0.0,3.2714088e-05
3,1,1.0,1.0
3,0,0.0,4.4896857e-05
3,1,1.0,1.0
3,1,1.0,1.0
3,1,1.0,1.0
3,1,1.0,1.0
3,1,1.0,1.0
3,0,0.0,5.232831e-05
3,1,1.0,1.0
3,1,1.0,1.0
3,1,1.0,1.0
3,1,1.0,1.0
3,1,1.0,1.0
3,0,0.0,2.9232178e-05
3,1,1.0,1.0
3,0,0.0,4.781584e-05
3,1,1.0,1.0
3,1,1.0,1.0
3,1,1.0,1.0
3,0,0.0,3.645103e-05
3,1,1.0,1.0
3,0,0.0,3.92336e-05
3,1,1.0,1.0
3,0,0.0,4.036147e-05
3,1,1.0,1.0
3,1,1.0,1.0
3,1,1.0,1.0
3,0,0.0,4.0702154e-05
3,0,0.0,4.4904053e-05
3,0,0.0,4.4331777e-05
3,1,1.0,1.0
3,0,0.0,1.2864631e-05
3,0,0.0,4.3865402e-05
3,1,1.0,1.0
3,1,1.0,1.0
3,1,1.0,1.0
3,0,0.0,4.9943188e-05
