true_labels,predicted_labels,scores
0,0.0,0.011315135
0,0.0,0.024946734
1,1.0,0.8072901
0,0.0,0.07017265
0,0.0,0.038497213
0,0.0,0.03872949
0,0.0,0.35749075
0,0.0,0.029997611
0,0.0,0.095067546
1,1.0,0.89027274
1,1.0,0.8773185
0,0.0,0.06338084
1,1.0,0.5522902
0,0.0,0.058750737
0,0.0,0.060285456
1,1.0,0.9024073
0,0.0,0.06945549
0,0.0,0.06863475
1,1.0,0.889802
1,1.0,0.7062582
0,0.0,0.03960141
0,0.0,0.041844964
0,0.0,0.030924745
0,0.0,0.016629625
0,0.0,0.051235598
0,0.0,0.07437407
0,0.0,0.054228812
0,0.0,0.071732774
1,1.0,0.802889
0,0.0,0.078686036
0,0.0,0.037705544
0,0.0,0.07048596
0,0.0,0.062239647
0,0.0,0.08939524
1,0.0,0.14612965
0,0.0,0.07896359
0,0.0,0.08337461
0,0.0,0.053297825
0,0.0,0.079806864
1,0.0,0.2853714
0,0.0,0.01821591
0,0.0,0.07558232
1,1.0,0.895419
1,1.0,0.9993195
1,1.0,0.88271105
0,0.0,0.03239299
1,1.0,0.58608234
0,0.0,0.081778154
1,0.0,0.28318784
0,0.0,0.08826542
0,0.0,0.058510978
1,1.0,0.8911712
0,0.0,0.046227537
0,0.0,0.08144861
1,0.0,0.3730453
0,0.0,0.07745195
0,0.0,0.057196368
0,0.0,0.06444255
0,0.0,0.10735068
0,0.0,0.061080173
0,0.0,0.075270616
0,0.0,0.026284352
0,0.0,0.059178278
0,0.0,0.052891392
1,1.0,0.844263
0,0.0,0.019981213
1,0.0,0.37737596
0,0.0,0.053278554
0,0.0,0.063023105
0,0.0,0.036783334
0,0.0,0.06578786
1,0.0,0.3842612
0,0.0,0.05410187
0,0.0,0.063994
1,1.0,0.8967316
0,0.0,0.062309712
0,0.0,0.07157579
0,0.0,0.17998809
0,0.0,0.040457174
0,0.0,0.052578066
0,0.0,0.103271686
0,0.0,0.049836535
0,0.0,0.031207846
1,1.0,0.89390576
0,0.0,0.061862618
0,0.0,0.029693265
1,1.0,0.83958656
0,0.0,0.015587855
0,0.0,0.029226013
1,1.0,0.8946475
1,1.0,0.8988316
1,1.0,0.90238106
0,0.0,0.033003274
0,0.0,0.055242226
1,1.0,0.7482173
0,0.0,0.07685214
0,0.0,0.035152502
1,1.0,0.6320012
1,1.0,0.89919144
0,0.0,0.07320432
0,0.0,0.05705577
1,1.0,0.900884
0,0.0,0.04076138
0,0.0,0.04576306
1,1.0,0.89446425
0,0.0,0.060113467
0,0.0,0.094135046
0,0.0,0.040955406
0,0.0,0.047955643
0,0.0,0.05346934
0,0.0,0.1518636
0,0.0,0.011597893
1,1.0,0.9906746
1,1.0,0.5392344
0,0.0,0.06604067
0,0.0,0.0683306
0,0.0,0.06294225
0,0.0,0.06266756
1,1.0,0.91023636
1,1.0,0.9688329
