true_labels,predicted_labels,scores
1,1.0,0.6992345
1,1.0,0.9237772
1,1.0,0.9818052
1,1.0,0.8207964
1,1.0,0.8222354
1,1.0,0.86777276
1,0.0,0.42269868
1,1.0,0.8733764
0,0.0,0.2618975
0,0.0,0.3624099
1,1.0,0.82345986
1,1.0,0.92381144
1,1.0,0.55739063
0,0.0,0.4926555
0,0.0,0.25019997
0,0.0,0.20695277
1,1.0,0.764259
0,0.0,0.2311424
1,1.0,0.8603039
0,0.0,0.12932342
1,1.0,0.5424205
0,1.0,0.6276887
1,1.0,0.8064007
1,1.0,0.8680476
0,0.0,0.31711182
1,0.0,0.32030234
1,1.0,0.87312394
0,0.0,0.2966849
1,1.0,0.85514855
0,1.0,0.80544114
1,1.0,0.56060785
1,1.0,0.8523803
1,1.0,0.5377852
1,0.0,0.47365913
1,1.0,0.83598745
1,1.0,0.83840144
1,1.0,0.8656231
1,1.0,0.84316003
1,1.0,0.833228
1,1.0,0.89638203
1,1.0,0.82571846
0,0.0,0.49691173
1,1.0,0.84478134
0,0.0,0.30323339
1,1.0,0.7809033
0,0.0,0.28295097
0,0.0,0.21853638
0,1.0,0.52924204
1,1.0,0.83044255
1,0.0,0.20063342
1,1.0,0.8055099
1,0.0,0.40644878
0,0.0,0.3404581
1,1.0,0.8058212
1,1.0,0.5095522
1,1.0,0.7265867
1,1.0,0.7065317
1,1.0,0.81117725
1,1.0,0.76318204
0,0.0,0.4017976
0,0.0,0.21169566
1,1.0,0.7759198
1,0.0,0.4427299
0,1.0,0.6628362
1,1.0,0.82842016
1,1.0,0.6206448
0,0.0,0.21902996
0,0.0,0.33349344
1,1.0,0.7242743
0,1.0,0.83767784
0,0.0,0.22088954
1,0.0,0.36658862
1,1.0,0.82144433
0,0.0,0.24749662
1,1.0,0.8550481
1,1.0,0.7001879
0,1.0,0.5699199
0,0.0,0.3640818
1,1.0,0.88739777
0,0.0,0.4020955
0,0.0,0.3428462
0,0.0,0.24284796
1,1.0,0.8877423
1,1.0,0.74396217
1,1.0,0.9854166
1,1.0,0.7733046
1,1.0,0.9607743
1,1.0,0.6480665
1,1.0,0.88718027
1,1.0,0.7349192
0,0.0,0.3234156
0,0.0,0.19855294
0,0.0,0.32145402
0,0.0,0.23458642
1,1.0,0.6747496
1,1.0,0.69443506
0,0.0,0.20007369
0,0.0,0.16361198
1,1.0,0.9908869
1,1.0,0.55295044
0,0.0,0.19371252
1,1.0,0.8515406
1,1.0,0.8746873
1,1.0,0.96066606
1,1.0,0.9204796
1,0.0,0.4024393
0,0.0,0.07978365
0,0.0,0.21017997
1,1.0,0.8575372
1,1.0,0.8710649
1,1.0,0.6518036
0,0.0,0.23286827
0,0.0,0.21201609
0,0.0,0.36961308
0,1.0,0.6612953
0,0.0,0.38329965
0,1.0,0.7506412
1,1.0,0.9156938
0,1.0,0.5100761
0,0.0,0.24045826
1,1.0,0.8229868
0,0.0,0.3024305
1,0.0,0.33902642
0,0.0,0.23422055
1,1.0,0.71936035
0,0.0,0.36451784
0,0.0,0.20254584
1,1.0,0.5235116
0,1.0,0.6006173
0,0.0,0.19795363
1,1.0,0.8335202
1,1.0,0.775337
1,1.0,0.7747632
1,1.0,0.8835356
1,0.0,0.35394368
0,0.0,0.34844622
1,1.0,0.7735736
1,1.0,0.69268095
0,0.0,0.20069256
1,1.0,0.7396849
1,1.0,0.75531787
1,0.0,0.4105792
1,1.0,0.76658714
1,1.0,0.7799101
0,0.0,0.20029065
1,1.0,0.80854416
1,1.0,0.7338144
1,1.0,0.7492571
1,1.0,0.814009
0,0.0,0.38860887
0,0.0,0.35525626
0,0.0,0.41714287
0,1.0,0.5061966
0,0.0,0.22698064
1,0.0,0.38540155
0,0.0,0.24299373
1,1.0,0.8274447
1,1.0,0.6994093
1,1.0,0.9071118
1,1.0,0.58890784
0,0.0,0.12894486
0,1.0,0.5274755
0,0.0,0.24579976
0,0.0,0.23126622
1,1.0,0.9055075
0,0.0,0.22644094
1,1.0,0.7231311
0,0.0,0.20796771
0,1.0,0.6285572
0,0.0,0.4473646
0,0.0,0.25154337
1,1.0,0.7985187
1,1.0,0.77598256
0,0.0,0.12275224
0,0.0,0.1667708
0,0.0,0.47469807
1,1.0,0.7393989
1,1.0,0.83634144
1,1.0,0.6907872
0,0.0,0.19570151
1,1.0,0.8276209
1,1.0,0.9407913
1,1.0,0.85021424
0,0.0,0.19326296
1,1.0,0.8244952
1,1.0,0.9060945
1,1.0,0.9606205
0,0.0,0.2302762
0,0.0,0.19382188
0,1.0,0.69601583
0,0.0,0.25640252
1,1.0,0.71417785
0,0.0,0.44870257
1,1.0,0.8870129
0,1.0,0.5874064
0,0.0,0.44420087
0,1.0,0.63425446
1,1.0,0.9486828
0,1.0,0.7226217
0,0.0,0.27635115
1,0.0,0.22517379
0,0.0,0.33766767
1,0.0,0.43100905
0,0.0,0.16456917
1,1.0,0.53748715
0,0.0,0.37762722
1,1.0,0.74499106
1,1.0,0.8338271
0,0.0,0.3587714
1,1.0,0.80794847
1,1.0,0.6614728
0,0.0,0.23205507
0,0.0,0.24009243
1,1.0,0.7865891
0,0.0,0.26712704
1,0.0,0.32485485
1,1.0,0.71042025
1,1.0,0.9023344
0,0.0,0.30507112
0,0.0,0.080576815
0,0.0,0.4171245
1,1.0,0.7033256
1,1.0,0.8498273
1,0.0,0.35012454
1,1.0,0.6240989
0,1.0,0.50495386
0,0.0,0.13095415
0,0.0,0.37415767
1,1.0,0.7079623
0,0.0,0.20092183
0,1.0,0.7876162
1,1.0,0.8130647
0,0.0,0.2137327
1,1.0,0.7247277
1,1.0,0.53026116
1,1.0,0.87560534
1,1.0,0.9729248
0,0.0,0.21037813
1,1.0,0.89049566
1,0.0,0.24072815
0,0.0,0.21021086
1,1.0,0.71159196
1,1.0,0.9272058
0,0.0,0.21800998
1,1.0,0.57436997
0,0.0,0.49753347
1,1.0,0.8885908
1,1.0,0.8245322
1,1.0,0.6939712
0,0.0,0.2282253
0,0.0,0.40774283
0,0.0,0.34506384
0,0.0,0.21863241
1,1.0,0.7588665
1,0.0,0.29582012
1,1.0,0.94858015
0,1.0,0.71520257
1,1.0,0.7968278
0,0.0,0.31101093
0,0.0,0.2716665
0,0.0,0.1752241
0,0.0,0.28514722
1,1.0,0.71213174
1,1.0,0.85291636
0,1.0,0.5210425
0,0.0,0.47091687
0,0.0,0.39541665
0,0.0,0.271752
0,0.0,0.23964413
0,1.0,0.5185352
1,0.0,0.4341968
0,0.0,0.22285949
1,1.0,0.70623064
0,0.0,0.29286242
1,1.0,0.91554034
1,0.0,0.30581892
1,1.0,0.71956944
1,1.0,0.90425813
0,0.0,0.17301193
0,1.0,0.86033374
0,0.0,0.1857679
0,0.0,0.18970372
1,1.0,0.9378394
1,1.0,0.8119188
1,1.0,0.681447
0,0.0,0.48585004
0,1.0,0.6303412
0,0.0,0.4480101
1,1.0,0.87946534
1,1.0,0.85531926
1,0.0,0.4646424
1,1.0,0.58961535
0,0.0,0.20988105
1,1.0,0.84743273
1,1.0,0.7130803
1,1.0,0.9270739
1,1.0,0.8523121
0,0.0,0.21960105
0,0.0,0.25063396
0,0.0,0.32052016
0,0.0,0.39116025
1,0.0,0.39639118
1,1.0,0.8489788
0,0.0,0.23647337
1,1.0,0.7024262
0,0.0,0.22402638
0,0.0,0.1906905
0,0.0,0.08317395
1,0.0,0.37999249
0,1.0,0.7585314
0,0.0,0.4102327
0,0.0,0.22259457
1,1.0,0.8142574
1,1.0,0.6204228
1,1.0,0.8556868
1,1.0,0.825168
1,1.0,0.84609634
0,0.0,0.41602424
1,1.0,0.758649
0,0.0,0.14606358
1,1.0,0.8383695
1,1.0,0.7998537
1,0.0,0.488097
1,1.0,0.89354074
0,0.0,0.23442355
1,1.0,0.85810685
0,0.0,0.20920801
0,0.0,0.4079744
0,0.0,0.17583483
0,0.0,0.45513374
1,0.0,0.38647723
