true_labels,predicted_labels,scores
0,0.0,0.005236373
1,1.0,0.99615604
0,0.0,0.0003487113
0,0.0,0.009689977
1,1.0,0.9963436
1,1.0,0.9961514
1,1.0,0.9958265
0,0.0,0.0007615741
0,0.0,0.0005498283
1,1.0,0.99578214
0,0.0,0.0005728214
1,1.0,0.9968945
0,0.0,0.0019021401
1,1.0,0.9963605
0,0.0,0.0007899649
0,0.0,0.00056043745
0,0.0,0.0006375002
0,0.0,0.00065580604
1,1.0,0.9961675
0,0.0,0.0005811129
1,1.0,0.9959629
0,0.0,0.0010626484
1,1.0,0.9962483
1,1.0,0.99666613
0,0.0,0.0002965316
0,0.0,0.00026864288
1,1.0,0.9961398
1,1.0,0.9960138
0,0.0,0.00084429595
1,1.0,0.99919164
1,1.0,0.9967284
1,1.0,0.9960162
0,0.0,0.0010619921
0,0.0,0.0005603865
0,0.0,0.00086329307
0,0.0,0.0009991217
0,0.0,0.0007903512
0,0.0,0.0008757722
1,1.0,0.9963726
1,1.0,0.9966788
0,0.0,0.0016768145
1,1.0,0.99620354
0,0.0,0.0037348063
1,1.0,0.99618006
1,1.0,0.9967129
1,1.0,0.9962266
1,1.0,0.99596596
0,0.0,0.0011176547
0,0.0,0.0005772556
0,0.0,0.00058993226
1,1.0,0.99662733
1,1.0,0.9961737
0,0.0,0.0012755189
0,0.0,0.0005929419
1,1.0,0.9961518
0,0.0,0.000790402
0,0.0,0.00057799753
1,1.0,0.99660873
0,0.0,0.00058993534
0,0.0,0.0010219646
1,1.0,0.99637395
0,0.0,0.00065556425
0,0.0,0.0013538653
1,1.0,0.9958948
0,0.0,0.0006866614
1,1.0,0.9963847
1,1.0,0.9962072
0,0.0,0.0037736562
0,0.0,0.0009733834
0,0.0,0.0005812281
0,0.0,0.0005498225
1,1.0,0.9959586
0,0.0,0.00055840326
0,0.0,0.0010617782
1,1.0,0.9963041
1,1.0,0.99672216
1,1.0,0.9967664
0,0.0,0.0006369834
1,1.0,0.9959309
1,1.0,0.9962549
0,0.0,0.0016917716
1,1.0,0.9961934
0,0.0,0.0004456851
1,1.0,0.9957979
1,1.0,0.9959434
1,1.0,0.9962673
1,1.0,0.9962508
1,1.0,0.9962115
0,0.0,0.0005584352
1,1.0,0.9957812
1,1.0,0.9961452
1,1.0,0.9961741
1,1.0,0.9957655
1,1.0,0.9962052
0,0.0,0.0011185032
1,1.0,0.99617267
0,0.0,0.0012436475
1,1.0,0.9960918
1,1.0,0.99817896
1,1.0,0.9961611
0,0.0,0.0009775101
1,1.0,0.99842316
0,0.0,0.0008002315
1,1.0,0.99615145
0,0.0,0.00036027018
1,1.0,0.99825823
1,1.0,0.99579406
1,1.0,0.99625045
0,0.0,0.0017733002
0,0.0,0.0010839227
0,0.0,0.0016324142
1,1.0,0.99593985
0,0.0,0.0006373677
0,0.0,0.00036945054
1,1.0,0.9963609
1,1.0,0.9957996
1,1.0,0.99649906
0,0.0,0.00071310706
1,1.0,0.99662584
1,1.0,0.99591005
0,0.0,0.00056620775
1,1.0,0.9967076
0,0.0,0.000605501
0,0.0,0.0009997035
1,1.0,0.9959907
0,0.0,0.00027224753
0,0.0,0.0005831093
0,0.0,5.903051e-05
1,1.0,0.9960224
0,0.0,0.0010626402
1,1.0,0.99648887
1,1.0,0.99618804
1,1.0,0.99664605
0,0.0,0.0007468499
0,0.0,0.000293965
0,0.0,0.00035618522
0,0.0,0.00033798267
1,1.0,0.99595803
0,0.0,0.0008378895
1,1.0,0.99595696
1,1.0,0.9981072
0,0.0,0.0003028192
1,1.0,0.99621326
0,0.0,0.0005461536
1,1.0,0.9961492
1,1.0,0.9983092
0,0.0,0.0012897883
0,0.0,0.0006561987
1,1.0,0.9971336
0,0.0,0.0016767099
0,0.0,0.0012041597
0,0.0,0.0012094582
0,0.0,0.00068608316
0,0.0,0.0006556046
1,1.0,0.99612945
1,1.0,0.99583733
0,0.0,0.0008900358
1,1.0,0.996398
1,1.0,0.9960146
0,0.0,0.0002897851
0,0.0,0.0011218393
1,1.0,0.9963823
0,0.0,0.0012664994
1,1.0,0.9961872
1,1.0,0.9961729
0,0.0,0.0002898487
0,0.0,0.0007468229
0,0.0,0.0006374856
0,0.0,0.0031351068
0,0.0,0.00059106044
0,0.0,0.0006574986
1,1.0,0.9959238
0,0.0,0.0012182571
1,1.0,0.9959916
0,0.0,0.0011181473
0,0.0,0.00055839657
0,0.0,0.00043852394
